inventory_id,part_num,color_id,quantity,is_spare,img_url
198,3710,19,12,False,https://cdn.rebrickable.com/media/parts/elements/4113233.jpg
198,3710,71,4,False,https://cdn.rebrickable.com/media/parts/elements/4211445.jpg
198,3794b,19,47,False,https://cdn.rebrickable.com/media/parts/elements/4155708.jpg
198,3794b,71,56,False,https://cdn.rebrickable.com/media/parts/ldraw/71/3794b.png
198,3795,19,2,False,https://cdn.rebrickable.com/media/parts/elements/4113993.jpg
198,4070,72,10,False,https://cdn.rebrickable.com/media/parts/elements/4211044.jpg
198,4162,72,7,False,https://cdn.rebrickable.com/media/parts/elements/4211008.jpg
198,4162,0,12,False,https://cdn.rebrickable.com/media/parts/elements/416226.jpg
198,4162,71,9,False,https://cdn.rebrickable.com/media/parts/elements/4211481.jpg
198,4162pr0023,0,1,False,https://cdn.rebrickable.com/media/parts/elements/6030988.jpg
198,4282,19,1,False,https://cdn.rebrickable.com/media/parts/elements/4124486.jpg
198,4286,378,10,False,https://cdn.rebrickable.com/media/parts/elements/4155045.jpg
198,4460b,72,2,False,https://cdn.rebrickable.com/media/parts/elements/4221745.jpg
198,4477,19,11,False,https://cdn.rebrickable.com/media/parts/elements/4143409.jpg
198,4477,71,3,False,https://cdn.rebrickable.com/media/parts/elements/4251149.jpg
198,4477,0,2,False,https://cdn.rebrickable.com/media/parts/elements/447726.jpg
198,47905,19,2,False,https://cdn.rebrickable.com/media/parts/elements/4213568.jpg
198,4865b,71,2,False,https://cdn.rebrickable.com/media/parts/elements/6146223.jpg
198,60897,19,28,False,https://cdn.rebrickable.com/media/parts/elements/6029889.jpg
198,6111,15,2,False,https://cdn.rebrickable.com/media/parts/elements/611101.jpg
198,6111,19,1,False,https://cdn.rebrickable.com/media/parts/elements/4166138.jpg
198,6141,19,2,True,https://cdn.rebrickable.com/media/parts/elements/4161734.jpg
198,6141,71,13,False,https://cdn.rebrickable.com/media/parts/elements/4211525.jpg
198,6141,71,1,True,https://cdn.rebrickable.com/media/parts/elements/4211525.jpg
198,6141,19,28,False,https://cdn.rebrickable.com/media/parts/elements/4161734.jpg
198,6179,71,6,False,https://cdn.rebrickable.com/media/parts/elements/4211837.jpg
198,6231,71,2,False,https://cdn.rebrickable.com/media/parts/elements/4215513.jpg
198,63864,71,8,False,https://cdn.rebrickable.com/media/parts/elements/4558169.jpg
198,63864,0,4,False,https://cdn.rebrickable.com/media/parts/elements/4558170.jpg
198,6636,71,15,False,https://cdn.rebrickable.com/media/parts/elements/4211549.jpg
198,87079,71,22,False,https://cdn.rebrickable.com/media/parts/elements/4560183.jpg
198,87079,72,16,False,https://cdn.rebrickable.com/media/parts/elements/4560184.jpg
198,87087,19,14,False,https://cdn.rebrickable.com/media/parts/elements/4579260.jpg
198,96874,25,1,False,https://cdn.rebrickable.com/media/parts/elements/4654448.jpg
198,99301,378,2,False,https://cdn.rebrickable.com/media/parts/elements/6029891.jpg
279,3022,15,1,False,https://cdn.rebrickable.com/media/parts/elements/302201.jpg
279,3023,71,3,False,https://cdn.rebrickable.com/media/parts/elements/4211398.jpg
279,3024,71,1,True,https://cdn.rebrickable.com/media/parts/elements/4211399.jpg
279,3024,71,3,False,https://cdn.rebrickable.com/media/parts/elements/4211399.jpg
279,3031,0,1,False,https://cdn.rebrickable.com/media/parts/elements/4243819.jpg
279,3032,71,4,False,https://cdn.rebrickable.com/media/parts/elements/4211404.jpg
279,3035,0,4,False,https://cdn.rebrickable.com/media/parts/elements/303526.jpg
279,3062b,71,112,False,https://cdn.rebrickable.com/media/parts/elements/4211412.jpg
279,3068b,71,22,False,https://cdn.rebrickable.com/media/parts/elements/4211413.jpg
279,3069b,0,6,False,https://cdn.rebrickable.com/media/parts/elements/306926.jpg
279,3069b,71,1,False,https://cdn.rebrickable.com/media/parts/elements/4211414.jpg
279,32123b,71,1,True,https://cdn.rebrickable.com/media/parts/elements/6271165.jpg
279,32123b,71,1,False,https://cdn.rebrickable.com/media/parts/elements/6271165.jpg
279,32125,71,2,False,https://cdn.rebrickable.com/media/parts/elements/4262978.jpg
279,3623,71,3,False,https://cdn.rebrickable.com/media/parts/elements/4211429.jpg
279,3710,71,3,False,https://cdn.rebrickable.com/media/parts/elements/4211445.jpg
279,3794a,71,5,False,https://cdn.rebrickable.com/media/parts/ldraw/71/3794a.png
279,3957b,71,13,False,https://cdn.rebrickable.com/media/parts/elements/4211473.jpg
279,4162,0,3,False,https://cdn.rebrickable.com/media/parts/elements/416226.jpg
279,4162pr0005,0,1,False,https://cdn.rebrickable.com/media/parts/elements/4638309.jpg
279,6141,71,1,True,https://cdn.rebrickable.com/media/parts/elements/4211525.jpg
279,6141,71,18,False,https://cdn.rebrickable.com/media/parts/elements/4211525.jpg
279,63965,71,2,False,https://cdn.rebrickable.com/media/parts/elements/4538098.jpg
2405,15332,19,12,False,https://cdn.rebrickable.com/media/parts/elements/6066118.jpg
2405,2431,19,4,False,https://cdn.rebrickable.com/media/parts/elements/243105.jpg
